0	0
0.0062	0.1168
0.0249	0.2328
0.0561	0.348
0.0997	0.4623
0.1557	0.5759
0.2241	0.6886
0.305	0.8005
0.3982	0.9114
0.5038	1.0215
0.6218	1.1307
0.752	1.239
0.8945	1.3463
1.0493	1.4526
1.2162	1.558
1.3954	1.6623
1.5866	1.7655
1.7899	1.8677
2.0052	1.9688
2.2325	2.0688
2.4716	2.1676
2.7226	2.2652
2.9854	2.3616
3.26	2.4567
3.5461	2.5506
3.8439	2.6431
4.1531	2.7343
4.4738	2.8241
4.8058	2.9125
5.1491	2.9995
5.5036	3.0849
5.8691	3.1689
6.2456	3.2513
6.6331	3.3321
7.0314	3.4113
7.4403	3.4889
7.8599	3.5648
8.29	3.639
8.7305	3.7115
9.1812	3.7821
9.6421	3.851
10.1131	3.9181
10.5941	3.9834
11.0848	4.0467
11.5853	4.1082
12.0953	4.1677
12.6148	4.2253
13.1435	4.2809
13.6815	4.3346
14.2285	4.3862
14.7845	4.4358
15.3492	4.4834
15.9225	4.5289
16.5044	4.5724
17.0946	4.6137
17.693	4.653
18.2994	4.6902
18.9138	4.7253
19.5358	4.7583
20.1655	4.7892
20.8026	4.8179
21.447	4.8446
22.0986	4.8691
22.757	4.8915
23.4223	4.9118
24.0941	4.93
24.7725	4.9461
25.4571	4.9602
26.1478	4.9721
26.8445	4.982
27.547	4.9899
28.255	4.9957
28.9685	4.9995
29.6872	5.0013
30.411	5.0011
31.1396	4.999
31.873	4.9949
32.6109	4.9889
33.3531	4.981
34.0994	4.9713
34.8497	4.9597
35.6038	4.9463
36.3615	4.9312
37.1226	4.9142
37.8869	4.8956
38.6542	4.8753
39.4243	4.8533
40.1971	4.8297
40.9723	4.8045
41.7498	4.7777
42.5293	4.7494
43.3107	4.7197
44.0937	4.6884
44.8783	4.6558
45.6641	4.6218
46.4509	4.5864
47.2387	4.5498
48.0271	4.5118
48.8161	4.4727
49.6053	4.4323
50.3947	4.3908
51.1839	4.3482
51.9728	4.3045
52.7613	4.2597
53.5491	4.2139
54.3359	4.1672
55.1217	4.1196
55.9063	4.071
56.6893	4.0216
57.4707	3.9714
58.2502	3.9204
59.0277	3.8687
59.8029	3.8163
60.5757	3.7632
61.3458	3.7094
62.1131	3.6551
62.8774	3.6002
63.6385	3.5448
64.3962	3.4888
65.1503	3.4325
65.9006	3.3757
66.6469	3.3185
67.3891	3.2609
68.127	3.203
68.8604	3.1449
69.589	3.0865
70.3128	3.0278
71.0315	2.969
71.745	2.91
72.453	2.8509
73.1555	2.7917
73.8522	2.7324
74.5429	2.6731
75.2275	2.6138
75.9059	2.5545
76.5777	2.4953
77.243	2.4362
77.9014	2.3772
78.553	2.3183
79.1974	2.2597
79.8345	2.2012
80.4642	2.143
81.0862	2.085
81.7006	2.0274
82.307	1.97
82.9054	1.9131
83.4956	1.8565
84.0775	1.8003
84.6508	1.7446
85.2155	1.6893
85.7715	1.6346
86.3185	1.5804
86.8565	1.5267
87.3852	1.4737
87.9047	1.4212
88.4147	1.3694
88.9152	1.3183
89.4059	1.2679
89.8869	1.2182
90.3579	1.1692
90.8188	1.1211
91.2695	1.0737
91.71	1.0272
92.1401	0.9816
92.5597	0.9368
92.9686	0.893
93.3669	0.8501
93.7544	0.8082
94.1309	0.7673
94.4964	0.7274
94.8509	0.6885
95.1942	0.6507
95.5262	0.614
95.8469	0.5785
96.1561	0.544
96.4539	0.5107
96.74	0.4786
97.0146	0.4478
97.2774	0.4181
97.5284	0.3896
97.7675	0.3625
97.9948	0.3366
98.2101	0.312
98.4134	0.2887
98.6046	0.2668
98.7838	0.2461
98.9507	0.2269
99.1055	0.209
99.248	0.1925
99.3782	0.1774
99.4962	0.1637
99.6018	0.1514
99.695	0.1406
99.7759	0.1312
99.8443	0.1232
99.9003	0.1166
99.9439	0.1116
99.9751	0.1079
99.9938	0.1057
100	0.105
0.0062	-0.1168
0.0249	-0.2328
0.0561	-0.348
0.0997	-0.4623
0.1557	-0.5759
0.2241	-0.6886
0.305	-0.8005
0.3982	-0.9114
0.5038	-1.0215
0.6218	-1.1307
0.752	-1.239
0.8945	-1.3463
1.0493	-1.4526
1.2162	-1.558
1.3954	-1.6623
1.5866	-1.7655
1.7899	-1.8677
2.0052	-1.9688
2.2325	-2.0688
2.4716	-2.1676
2.7226	-2.2652
2.9854	-2.3616
3.26	-2.4567
3.5461	-2.5506
3.8439	-2.6431
4.1531	-2.7343
4.4738	-2.8241
4.8058	-2.9125
5.1491	-2.9995
5.5036	-3.0849
5.8691	-3.1689
6.2456	-3.2513
6.6331	-3.3321
7.0314	-3.4113
7.4403	-3.4889
7.8599	-3.5648
8.29	-3.639
8.7305	-3.7115
9.1812	-3.7821
9.6421	-3.851
10.1131	-3.9181
10.5941	-3.9834
11.0848	-4.0467
11.5853	-4.1082
12.0953	-4.1677
12.6148	-4.2253
13.1435	-4.2809
13.6815	-4.3346
14.2285	-4.3862
14.7845	-4.4358
15.3492	-4.4834
15.9225	-4.5289
16.5044	-4.5724
17.0946	-4.6137
17.693	-4.653
18.2994	-4.6902
18.9138	-4.7253
19.5358	-4.7583
20.1655	-4.7892
20.8026	-4.8179
21.447	-4.8446
22.0986	-4.8691
22.757	-4.8915
23.4223	-4.9118
24.0941	-4.93
24.7725	-4.9461
25.4571	-4.9602
26.1478	-4.9721
26.8445	-4.982
27.547	-4.9899
28.255	-4.9957
28.9685	-4.9995
29.6872	-5.0013
30.411	-5.0011
31.1396	-4.999
31.873	-4.9949
32.6109	-4.9889
33.3531	-4.981
34.0994	-4.9713
